mint,symbol,created_at_utc,complete,pool_address,market_cap_usd_at_snapshot,ath_market_cap_usd
8noJXErc6kUxHYUHDjkZwfixtXsukDYs973kryq83bCn,MIAMI,2026-09-06T18:27:28+00:00,False,2d7NQ811pqsT24yh5uV2j5SSR3tg2d2pF6ZVgqxjGfjV,2958.9765709602707,5972.9721006729105
5urkbXfppuZC8j67qE8X1HTtzgemXv5VxxCPNPFhkenc,USM,2026-09-06T18:36:51+00:00,False,BD2ohj4Ajsecv7LpywPEc29iU4KdEEiBhvP43NB8S1tN,2978.191987073998,4302.603027541828
FNgB2cxpaVkcXtZgZiu6YTNF3QevjuSQGsgZRYv9R8aZ,AFD,2026-09-06T18:40:22+00:00,False,EyAc8mjCNF7wfHJcuZeuWQbKjX6jj29UwfAHXdcGLdGp,2979.629078147783,4076.6436736061996
DLGTXZAUjKexYJzRdN9hTYJWHnQsRAES21WeVwQKMHir,wif,2026-09-06T18:40:44+00:00,False,13LtyK44AYeMt8cE2nvN7kzvnhojqmQRMNVQCw4msjeU,2903.123037749608,6004.7851268894165
HcLStPPkZj6nZ6bgKLQo8UxCGjQXg358BEvvFup571Me,HULKNALD,2026-09-06T18:41:13+00:00,False,8tAZT6dqjfFaaiNmwZV2rxUxcQtBrdHPR8GcYKYtrC8W,2975.6756767667566,5807.685116583968
4SEAeMgEesseN5n9KyRH63AvgX4ULmPXpTikgRbYqgpR,TWNSA,2026-09-06T18:41:58+00:00,False,9Be6vftyoXWEsvd915jUNKSEVbq2iYkqTW6Agsi9xz3P,2966.0814537023375,5886.520135057701
EZd2PUoLzYyFFfBJQLihLZHMQ8EveZgYb96ojsLpNSAi,STICKMEN,2026-09-06T18:55:04+00:00,False,5wwW5bYGeAsJbiHGTQCJoCaKvgEGLP3EY69jVFxGyugj,2978.009410742877,7355.3216073039275
HS1MpkAaSU1rtb4ahzUnEMzcndSjYLqb5KjRJFVc3Pr1,stickmen,2026-09-06T19:04:35+00:00,False,2P87FQoDc1LB6CsUNZtZUes3P9JPtJT6fH2oZwveQZkJ,2959.1798729770735,4368.554403371136
Gy46PufrkiMhXebkwCTf7nsrf5nDQgzJCspWto3QhpYo,NIKE,2026-09-06T20:29:23+00:00,False,FnH6nYCpeknaCVT3hVAKeY5jcftVfphiqPJMqj6MkDYB,2875.601226517126,6518.2492795379685
8wE5t5rCpCsTcmsjdWPKD7Fmay7cN7aErtXwH7Xp9KvU,FOREVER,2026-09-06T20:45:52+00:00,False,8NWxswiu7wruWAgY47F9HAZjjcQgSZ1B2vGwZvqo9ZqP,2955.221649054498,5678.28624199809
EYwjJdvafZPMxP2EL2epABt79q8nvBUEJ7hjvrXqz8co,ASSTRA,2026-09-06T20:48:15+00:00,False,C7ybk9NofvjgdqFrjFkLc4TgPtaTHABFziMvJcjnjp1N,2954.706431159441,4041.0896405307417
BDvF7LPYUWJnMayGVJ4C3iRNKKi2Ewzx5firesGk7Qw7,SOLANA,2026-09-06T20:55:34+00:00,False,AwefQ9ccQD5F4tPZYaE9dq1Z65zWrX7PmBN1gYPH6YQD,2955.3578757075675,5943.47715976111
AXfomUjsppjx5ac7PXVf6BKvCbpvrC6GmSRi4Q8mmxN2,nAIke,2026-09-06T21:06:23+00:00,False,7XtqJmAniGkDfxCUQU5w6Xv2VYnVXdVVPXH3MNm6pjMF,2883.150201568667,4726.097442822093
AvaVGcnUP94pcJkbACHKquMokUin83NN3msP8TbmjCHb,utility,2026-09-06T21:21:34+00:00,False,3deJbn2EKW2qLJPziFAYs6JxhvkDi5WTjXQuow2GydLa,2965.6104392104753,5180.159185315871
BVNGVBrfzH1UiuohZWnbYhiThkyx6rnaTehFCDBW4H6z,JUSTICE,2026-09-06T21:30:57+00:00,False,Sp56t6Dvngyv9qCq1UUMeSTHXyYwsqTzGcboKuiZ7fr,2967.008388390345,5809.432864116565
7X5FyMLsXpPmA8fcyotVyzEteQwzpEa9B5zhgozRtZND,Nike,2026-09-06T21:31:06+00:00,False,3DfRas9ns9NqMHbG71CGRjeNnPbvNPMwAborrpnos8jE,2939.927241574049,16359.593617227445
FdhqaYDtLz2yT65bcxoyQFF9bUusAXNypUnd4Re1prBA,J*B,2026-09-06T21:34:34+00:00,False,SW5X9NZXEFVRAYtzxRLLhAAWfQTeR4uuy1MihmY3ZzR,2964.049258423279,5287.275379146287
Eu78VbmHZmuPGy9Rr5qBgjA37BBt5vNJ6JBFiAXD3o7p,bullish,2026-09-07T00:22:35+00:00,False,5cEorTswwoiQnrVpHhX1tX538AXtWqdamur8idHjj4Z9,2974.5778695640797,4647.530359777338
33Kb4hZD2onufkgHvLXyK6z8RHKzsX47p6Fmizi7QeEi,QQQ,2026-09-07T00:30:50+00:00,False,AVobji2CM1BijEewoHsKYSKFK2JomMaA9hdJhLjVozej,2970.761274938807,6564.4933892466
